No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date [n 13]
229,1,"""The Dashing Sea Train and the City of Water: Water Seven!"" Transliteration: ""Shissō umi ressha to mizu no miyako Uōtā Seven"" (Japanese: 疾走海列車と水の都ウォーターセブン)",Directed by : Munehisa Sakai Storyboarded by : Kenji Yokoyama,Hirohiko Kamisaka,"April 17, 2005[365][366]","October 27, 2013"
230,2,"""Adventure in the City on the Water! Head to the Mammoth Shipbuilding Plant!"" Transliteration: ""Suijō toshi no bōken! Mezase kyodai sōsen kōjō"" (Japanese: 水上都市の冒険!目指せ巨大造船工場)",Directed by : Kōnosuke Uda Storyboarded by : Takahiro Imamura,Hirohiko Kamisaka,"April 24, 2005[367][368]","November 3, 2013"
231,3,"""The Franky Family and Iceberg!"" Transliteration: ""Furankī ikka to Aisubāgu-san"" (Japanese: フランキー一家とアイスバーグさん)",Yoshio Mukainakano,Hirohiko Kamisaka,"May 1, 2005[369]","November 10, 2013"
232,4,"""Galley-La Company! A Grand Sight: Dock #1!"" Transliteration: ""Garēra Kanpanī! Soukan ichiban Dokku"" (Japanese: ガレーラカンパニー!壮観一番ドック)",Directed by : Kōnosuke Uda Storyboarded by : Ken Koyama,Hirohiko Kamisaka,"May 15, 2005[370][371]","November 17, 2013"
233,5,"""Pirate Abduction Incident! A Pirate Ship That Can Only Await Her End!"" Transliteration: ""Kaizoku yūkai jiken to shi o matsu dake no kaizokusen"" (Japanese: 海賊誘拐事件と死を待つだけの海賊船)",Directed by : Hiroaki Miyamoto Storyboarded by : Kenji Yokoyama,Hirohiko Kamisaka,"May 22, 2005[372][373]","November 24, 2013"
234,6,"""Rescuing Our Friend! Raid On the Franky House!"" Transliteration: ""Nakama kyūshutsu! Nagarikomi Furankī Hausu"" (Japanese: 仲間救出!殴りこみフランキーハウス)",Hidehiko Kadota,Hirohiko Kamisaka,"June 5, 2005[374]","December 1, 2013"
235,7,"""Big Fight Under the Moon! The Pirate Flag Flutters With Sorrow!"" Transliteration: ""Gekka no dai kenka! Kanashimi ni hirugaeru kaizoku hata!"" (Japanese: 月下の大喧嘩!哀しみに翻る海賊旗!)",Katsumi Tokoro,Hirohiko Kamisaka,"June 12, 2005[375][376]","January 5, 2014"
236,8,"""Luffy vs. Usopp! Collision of Two Men's Pride!"" Transliteration: ""Rufi VS Usoppu! Butsukaru otoko no iji"" (Japanese: ルフィvsウソップ!ぶつかる男の意地)",Munehisa Sakai,Hirohiko Kamisaka,"June 19, 2005[377]","January 12, 2014"
237,9,"""Severe Shock Hits the City of Water! Iceberg Targeted!"" Transliteration: ""Gekishin mizu no miyako! Newareta Aisubāgu"" (Japanese: 激震水の都!狙われたアイスバーグ)",Yoko Ikeda,Hirohiko Kamisaka,"July 3, 2005[378][379]","January 19, 2014"
238,10,"""Gum-Gum Human vs. Fire-Breathing Cyborg!"" Transliteration: ""Gomugomu ningen VS hi o fuku kaizō ningen"" (Japanese: ゴムゴム人間VS火を吹く改造人間)",Yoshio Mukainakano,Hirohiko Kamisaka,"July 10, 2005[380]","January 26, 2014"
239,11,"""The Straw Hat Pirates Are the Culprits? The Protectors of the City of Water!"" Transliteration: ""Hannin wa mugiwara kaizokudan? Mizu no miyako no yōjinbo"" (Japanese: 犯人は麦わら海賊団?水の都の用心棒)",Morio Hatano,Hirohiko Kamisaka,"July 31, 2005[381][382]","February 2, 2014"
240,12,"""Eternal Farewell? Nico Robin: The Woman Who Draws Darkness!"" Transliteration: ""Eien no wakare? Yami o hiku onna Niko Robin"" (Japanese: 永遠の別れ?闇を引く女ニコ·ロビン)",Hiroaki Miyamoto,Hirohiko Kamisaka,"August 7, 2005[383]","February 9, 2014"
241,13,"""Capture Robin! The Determination of the Straw Hats!"" Transliteration: ""Robin o tsukamaero! Mugiwara ichimi no ketsui"" (Japanese: ロビンを捕まえろ!麦わら一味の決意)",Hidehiko Kadota,Hirohiko Kamisaka,"August 14, 2005[384]","February 16, 2014"
242,14,"""Cannon Fire Is the Signal! CP9 Goes Into Action!"" Transliteration: ""Aizu wa hōgeki to tomo ni! Ugokidashita CP9"" (Japanese: 合図は砲撃と共に!動き出したCP9)",Katsumi Tokoro,Hirohiko Kamisaka,"August 21, 2005[385]","February 23, 2014"
243,15,"""CP9 Takes Off Their Masks! Their Shocking True Faces!"" Transliteration: ""Kamen o totta CP9! Sono odoroki no sugao"" (Japanese: 仮面を取ったCP9!その驚きの素顔)",Kōnosuke Uda,Hirohiko Kamisaka,"September 4, 2005[386][387]","March 2, 2014"
244,16,"""Secret Bond! Iceberg and Franky!"" Transliteration: ""Hisometa kizuna! Aisubāgu to Furankī"" (Japanese: 秘めた絆!アイスバーグとフランキー)",Munehisa Sakai,Hirohiko Kamisaka,"September 11, 2005[388][389]","March 9, 2014"
245,17,"""Come Back, Robin! Showdown With CP9!"" Transliteration: ""Kaette koi Robin! CP9 to no taiketsu!"" (Japanese: 帰って来いロビン!CP9との対決!)",Hidehiko Kadota,Hirohiko Kamisaka,"September 18, 2005[390]","March 16, 2014"
246,18,"""The Straw Hat Pirates Annihilated? The Menace of the Leopard Model!"" Transliteration: ""Mugiwara kaizokudan zenmetsu? Moderu hyō no kyōi"" (Japanese: 麦わら海賊団全滅?モデル豹の脅威!)",Yoko Ikeda,Hirohiko Kamisaka,"October 23, 2005[391][392][n 14]","March 23, 2014"
247,19,"""The Man Who Is Loved Even by His Ship! Usopp's Tears!"" Transliteration: ""Fune kara mo aisareta otoko! Usoppu no namida!"" (Japanese: 船からも愛された男!ウソップの涙!)",Morio Hatano,Hirohiko Kamisaka,"October 30, 2005[393][394]","March 30, 2014"
248,20,"""Franky's Past! The Day the Sea Train First Ran!"" Transliteration: ""Furankī no kako! Umi ressha ga hashitta hi"" (Japanese: フランキーの過去!海列車が走った日)",Hiroaki Miyamoto,Hirohiko Kamisaka,"November 6, 2005[395][396]","April 6, 2014"
249,21,"""Spandam's Scheme! The Day the Sea Train Shook!"" Transliteration: ""Supandamu no inbō! Umi ressha ga ureta hi"" (Japanese: スパンダムの陰謀!海列車が揺れた日)",Katsumi Tokoro,Hirohiko Kamisaka,"November 13, 2005[397]","April 13, 2014"
250,22,"""The End of the Legendary Man! The Day the Sea Train Cried!"" Transliteration: ""Densetsu no otoko no saigo! Umi ressha ga naita hi"" (Japanese: 伝説の男の最期!海列車が泣いた日)",Ken Koyama,Hirohiko Kamisaka,"November 27, 2005[398][399][n 15]","April 20, 2014"
251,23,"""The Truth Behind Her Betrayal! Robin's Sorrowful Decision!"" Transliteration: ""Uragiri no shinsō! Robin no kanashiki ketsui!"" (Japanese: 裏切りの真相!ロビンの哀しき決意!)",Munehisa Sakai,Hirohiko Kamisaka,"November 27, 2005[398][399][n 15]","April 27, 2014"
252,24,"""The Steam Whistle Forces Friends Apart! The Sea Train Starts to Run!"" Transliteration: ""Nakama o hikihanasu kiteki! Hashiridasu umi ressha"" (Japanese: 仲間を引き離す汽笛!走り出す海列車)",Directed by : Yukihiko Nakao Storyboarded by : Kenji Yokoyama,Hirohiko Kamisaka,"December 4, 2005[400][401]","May 4, 2014"
253,25,"""Sanji Barges In! Sea Train Battle in the Storm!"" Transliteration: ""Sanji totsunyū! arashi no naka no umi ressha batoru!"" (Japanese: サンジ突入!嵐の中の海列車バトル!)",Yoko Ikeda,Hirohiko Kamisaka,"December 11, 2005[402][403]","May 11, 2014"
254,26,"""Nami's Soul Cries Out! Straw Hat Luffy Makes a Comeback!"" Transliteration: ""Nami tamashii no sakebi! Mugiwara no Rufi fukukatsu!"" (Japanese: ナミ魂の叫び!麦わらのルフィ復活!)",Morio Hatano,Hirohiko Kamisaka,"January 22, 2006[404][405]","May 18, 2014"
255,27,"""Another Sea Train? Rocketman Charges Forth!"" Transliteration: ""Mō hitotsu no umi ressha? Rokettoman shutsugeki"" (Japanese: もう一つの海列車?ロケットマン出撃)",Ken Koyama,Hirohiko Kamisaka,"January 29, 2006[406][407]","May 25, 2014"
256,28,"""Rescue Our Friends! A Bond Among Foes Sworn with Fists!"" Transliteration: ""Nakama o sukue! Kobushi ni chikatta teki dōshi no kizuna!"" (Japanese: 仲間を救え!拳に誓った敵同士の絆!)",Hiroaki Miyamoto,Hirohiko Kamisaka,"February 5, 2006[408][409]","June 1, 2014"
257,29,"""Smash the Wave! Luffy and Zoro Use the Strongest Combo!"" Transliteration: ""Nami o sake! Rufi to Zoro no saikyō gattai waza"" (Japanese: 波を砕け!ルフィとゾロの最強合体技)",Yukihiko Nakao,Hirohiko Kamisaka,"February 26, 2006[410][411]","June 8, 2014"
258,30,"""A Mysterious Man Appears?! His Name Is Sniperking!"" Transliteration: ""Nazo no otoko tōjō!? Sono na wa Sogekingu!"" (Japanese: 謎の男登場!?その名はそげキング!)",Munehisa Sakai,Hirohiko Kamisaka,"March 5, 2006[412]","June 15, 2014"
259,31,"""Showdown Between Cooks! Sanji vs. Ramen Kenpo"" Transliteration: ""Kokku taiketsu! Sanji VS Rāmen kenpō"" (Japanese: コック対決!サンジVSラーメン拳法)",Ken Koyama,Hirohiko Kamisaka,"March 12, 2006[413][414]","June 22, 2014"
260,32,"""Rooftop Duel! Franky vs. Nero"" Transliteration: ""yane no ue no kettō! Furankī VS Nero"" (Japanese: 屋根の上の決闘!フランキーVSネロ)",Yoko Ikeda,Hirohiko Kamisaka,"March 19, 2006[415]","June 29, 2014"
261,33,"""Clash! Demon-Slasher Zoro vs. Ship-Slasher T-Bone!"" Transliteration: ""Gekitotsu! Onigiri Zoro VS funegiri T Bōn"" (Japanese: 激突!鬼斬りゾロVS船斬りTボーン)",Directed by : Morio Hatano Storyboarded by : Makiko Orimoto,Hirohiko Kamisaka,"April 2, 2006[416][n 16]","July 6, 2014"
262,34,"""Scramble over Robin! A Cunning Plan by Sniperking!!"" Transliteration: ""Robin sōdatsusen! Sogekingu no kisaku!!"" (Japanese: ロビン争奪戦!そげキングの奇策!!)",Yukihiko Nakao,Hirohiko Kamisaka,"April 16, 2006[417][418]","July 13, 2014"
263,35,"""The Judicial Island! Full View of Enies Lobby!"" Transliteration: ""Shihō no shima! Eniesu Robī no zenbō"" (Japanese: 司法の島!エニエス·ロビーの全貌!)",Hiroaki Miyamoto,Hirohiko Kamisaka,"April 30, 2006[419]","July 20, 2014"
