No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date
337,1,"""The Mysterious Skeleton Floating Through The Fog! Venture into The Devil's Sea"" Transliteration: ""Ma no Umi Totsunyū! Kiri ni Ukabu Nazo no Gaikotsu"" (Japanese: 魔の海突入! 霧に浮かぶ謎のガイコツ)",Yoshihiro Ueda,Hirohiko Kamisaka,"January 6, 2008[82]","March 13, 2016"
338,2,"""The Joy of Seeing People! The Gentleman Skeleton’s True Identity!"" Transliteration: ""Hito ni Aeta Yorokobi! Gaikotsu Shinshi no Shōtai"" (Japanese: 人に逢えた喜び! ガイコツ紳士の正体)",Directed by : Hiroyuki Satō Storyboarded by : Naotoshi Shida,Tsuyoshi Sakurai,"January 13, 2008[83]","March 20, 2016"
339,3,"""One Unnatural Phenomenon After the Next! Disembarking on Thriller Bark!"" Transliteration: ""Kai Genshō Zokuzoku! Surirābāku Jōriku"" (Japanese: 怪現象ぞくぞく! スリラーバーク上陸)",Sumio Watanabe,Takuya Masumoto,"January 20, 2008[84]","March 27, 2016"
340,4,"""The Man Called a Genius! Hogback Makes His Appearance!"" Transliteration: ""Tensai to Yobareta Otoko! Hogubakku Arawaru!"" (Japanese: 天才と呼ばれた男! ホグバック現る!)",Katsumi Tokoro,Yoshiyuki Suga,"January 27, 2008[85]","April 3, 2016"
341,5,"""Nami’s in a Major Pinch! The Zombie Mansion and the Invisible Man!"" Transliteration: ""Nami Daipinchi! Zonbi Yashiki to Tōmei Ningen"" (Japanese: ナミ大ピンチ! ゾンビ屋敷と透明人間)",Tetsuya Endō,Isao Murayama,"February 3, 2008[86]","April 10, 2016"
342,6,"""The Zombie’s Secret! Hogback’s Nightmarish Laboratory!"" Transliteration: ""Zonbi no Nazo! Akumu no Hogubakku Kenkyūsho"" (Japanese: ゾンビの謎! 悪夢のホグバック研究所)",Directed by : Hiroshi Matsuzaka Storyboarded by : Kenji Yokoyama,Tsuyoshi Sakurai,"February 10, 2008[87]","April 17, 2016"
343,7,"""His Name is Moria! The Great Shadow-Seizing Pirate's Trap!"" Transliteration: ""Sono Na wa Moria! Kage o Nigiru Daikaizoku no Wana"" (Japanese: その名はモリア! 影を握る大海賊の罠)",Yoshihiro Ueda,Koga Naoki,"February 17, 2008[88]","April 24, 2016"
344,8,"""Feast of the Zombie Song! The Night Raid's Bell is the Sound of Darkness!"" Transliteration: ""Zonbi Songu no Kyōen! Yōchi no Kane wa Yami no Oto"" (Japanese: ゾンビ歌の饗宴! 夜討ちの鐘は闇の音)",Directed by : Hiroyuki Satō Storyboarded by : Naotoshi Shida,Hirohiko Kamisaka,"February 24, 2008[89]","May 1, 2016"
345,9,"""A Bunch of Animals? Perona's Wonder Garden!"" Transliteration: ""Dōbutsu Ippai? Perōna no Wandāgāden"" (Japanese: 動物いっぱい? ペローナの不思議の庭)",Sumio Watanabe,Yoshiyuki Suga,"March 2, 2008[90]","May 8, 2016"
346,10,"""The Vanishing Straw Hat Crew! A Mysterious Swordsman Appears!"" Transliteration: ""Kieru Mugiwara Ichimi! Arawareta Nazo no Kenshi!"" (Japanese: 消える麦わら一味! 現れた謎の剣士!)",Katsumi Tokoro,Takuya Masumoto,"March 9, 2008[91]","May 15, 2016"
347,11,"""Chivalry Remains! The Traitorous Zombie Protects Nami!"" Transliteration: ""Nokoru Kishidō! Nami o Mamoru Uragiri Zonbi"" (Japanese: 残る騎士道! ナミを守る裏切りゾンビ)",Hiroaki Miyamoto,Koga Naoki,"March 16, 2008[92]","May 22, 2016"
348,12,"""Appearing from the Sky! That Man Is the Humming Swordsman!"" Transliteration: ""Sora kara Sanjō! Kenkyō Hanauta wa Ano Otoko!"" (Japanese: 空から参上! 剣狭ハナウタはあの男!)",Directed by : Hiroyuki Satō Storyboarded by : Munehisa Sakai,Isao Murayama,"March 23, 2008[93]","June 5, 2016"
349,13,"""Luffy's Emergency Situation! The Ultimate Shadow's Destination!"" Transliteration: ""Rufi Kinkyūjitai! Saikyō no Kage no Ikisaki!"" (Japanese: ルフィ緊急事態! 最強の影の行き先!)",Yutaka Nakashima,Yoshiyuki Suga,"March 30, 2008[94]","June 12, 2016"
350,14,"""The Warrior Known As the ""Devil""!! The Moment of Oars' Revival"" Transliteration: ""Majin to Yobareta Senshi!! Ōzu Fukkatsu no Toki"" (Japanese: 魔人と呼ばれた戦士!! オーズ復活の時)",Tetsuya Endō,Tsuyoshi Sakurai,"April 20, 2008[95]","June 19, 2016"
351,15,"""Awakening After 500 Years!! Oars Opens His Eyes!!"" Transliteration: ""Gohyakunen Buri no Mezame!! Ōzu Kaigan!!"" (Japanese: 500年ぶりの目覚め!! オーズ開眼!!)",Yoshihiro Ueda,Takuya Masumoto,"April 27, 2008[96]","June 26, 2016"
352,16,"""A Belief Worth Begging to Live for!! Brook Defends His Afro"" Transliteration: ""Shinnen no Inochigoi!! Afuro o Mamoru Burukku"" (Japanese: 信念の命乞い!! アフロを守るブルック)",Sumio Watanabe,Yoshiyuki Suga,"May 4, 2008[97]","July 10, 2016"
353,17,"""A Man's Promise Never Dies!! To the Friend Waiting Under the Distant Sky"" Transliteration: ""Otoko no Chikai wa Shinazu!! Tōi Sora de Matsu Tomo e"" (Japanese: 男の誓いは死なず!! 遠い空で待つ友へ)",Directed by : Hiroshi Matsuzaka Storyboarded by : Naotoshi Shida,Hirohiko Kamisaka,"May 11, 2008[98]","July 17, 2016"
354,18,"""I Swear to Go See Him! Brook and the Cape of Promise"" Transliteration: ""Kanarazu Ai ni Iku!! Burukku to Yakusoku no Misaki"" (Japanese: 必ず会いに行く!! ブルックと約束の岬)",Takahiro Imamura,Hirohiko Kamisaka,"May 18, 2008[99]","July 24, 2016"
355,19,"""Food, Nami and Shadows!! Luffy's Enraged Counterattack"" Transliteration: ""Meshi to Nami to Kage!! Luffi Ikari no Daihangeki"" (Japanese: メシとナミと影!! ルフィ怒りの大反撃)",Katsumi Tokoro,Koga Naoki,"May 25, 2008[100]","July 31, 2016"
356,20,"""Usopp's the Strongest? Leave Anything Negative to Him"" Transliteration: ""Usoppu Saikyō? Negateibu wa Makasetoke"" (Japanese: ウソップ最強? ネガティブは任せとけ)",Yutaka Nakashima,Takuya Masumoto,"June 1, 2008[101]","August 7, 2016"
357,21,"""The General Zombies Are Down in a Flash!! Oars Feels Like an Adventure!!"" Transliteration: ""Jeneraru Zonbi Shunsetsu!! Ōzu wa Bōken Kibun!!"" (Japanese: 将軍ゾンビ瞬殺!! オーズは冒険気分!!)",Tetsuya Endō,Tsuyoshi Sakurai,"June 8, 2008[102]","August 14, 2016"
358,22,"""Blazing Knight Sanji!! Kick Down the Fake Wedding"" Transliteration: ""Honō no Naito Sanji!! Keri Tsubuse Itsuwari no Kyoshiki"" (Japanese: 炎の騎士サンジ!! 蹴り潰せ偽りの挙式)",Sumio Watanabe,Yoshiyuki Suga,"June 15, 2008[103]","August 21, 2016"
359,23,"""A Clear-Clear History? Sanji's Stolen Dream"" Transliteration: ""Suke Suke no Innen? Ubawareta Sanji no Yume"" (Japanese: スケスケの因縁? 奪われたサンジの夢)",Yoshihiro Ueda,Takuya Masumoto,"June 22, 2008[104]","August 28, 2016"
360,24,"""Save Me, Hero!! My Enemy Is the Immortal Princess"" Transliteration: ""Tasukete Hīrō!! Teki wa Fujimi no Purinsesu"" (Japanese: 助けて英雄!! 敵は不死身のプリンセス)",Directed by : Makoto Sonoda Storyboarded by : Naotoshi Shida,Hirohiko Kamisaka,"June 29, 2008[105]","September 11, 2016"
361,25,"""Perona Is Terrified!! Usopp and Untruthful Share the Same ""U"""" Transliteration: ""Perona Kyōfu!! Uso no U wa Usoppu no U"" (Japanese: ペローナ恐怖!! 嘘のウはウソップのウ)",Tetsuya Endō,Koga Naoki,"July 6, 2008[106]","September 18, 2016"
362,26,"""Slashes Dancing On the Rooftop!! Showdown: Zoro vs. Ryuma!"" Transliteration: ""Yane ni Mau Zangeki!! Ketchaku Zoro VS Ryūma"" (Japanese: 屋根に舞う斬撃!! 決着ゾロVSリューマ)",Yoshihiro Ueda,Yoshiyuki Suga,"July 13, 2008[107]","September 25, 2016"
363,27,"""Chopper Is Furious!! Hogback's Evil Medical Practices"" Transliteration: ""Choppā Gekido!! Hogubakku Ma no Ijutsu"" (Japanese: チョッパー激怒!! ホグバック魔の医術)",Yutaka Nakashima,Hirohiko Kamisaka,"July 20, 2008[108]","October 2, 2016"
364,28,"""Oars Roars! Come Out, Straw Hat Crew"" Transliteration: ""Ōzu Hoeru!! Dete Koi Mugiwara no Ichimi"" (Japanese: オーズ吼える!! 出て来い麦わらの一味)",Yukihiko Nakao,Takuya Masumoto,"August 3, 2008[109]","October 9, 2016"
365,29,"""Luffy Is the Enemy! The Ultimate Zombie vs. The Straw Hat Crew"" Transliteration: ""Teki wa Rufi!! Saikyō Zonbi tai Mugiwara no Ichimi"" (Japanese: 敵はルフィ!! 最強ゾンビ対麦わらの一味)",Directed by : Sumio Watanabe Storyboarded by : Naotoshi Shida,Koga Naoki,"August 10, 2008[110]","October 16, 2016"
366,30,"""You're Going Down, Absalom!! Nami's Lightning Attack of Friendship!!"" Transliteration: ""Taorero Abusaromu!! Nami Yūjō no Raigeki!!"" (Japanese: 倒れろアブサロム!! ナミ友情の雷撃!!)",Tetsuya Endō,Tsuyoshi Sakurai,"August 17, 2008[111]","October 23, 2016"
367,31,"""Knock Him Down!! Special Attack: Straw Hat Docking?"" Transliteration: ""Ubae Daun!! Hissatsu Mugiwara Dokkingu?"" (Japanese: 奪えダウン!! 必殺麦わらドッキング?)",Hiroyuki Satō,Takuya Masumoto,"August 24, 2008[112]","November 6, 2016"
368,32,"""The Silent Assault!! The Mysterious Visitor, Tyrant Kuma"" Transliteration: ""Ashioto Naki Shūrai!! Nazo no Hōmonsha: Bōkun Kuma"" (Japanese: 足音なき襲来!! 謎の訪問者•暴君くま)",Directed by : Hiroshi Matsuzaka Storyboarded by : Kenji Yokoyama,Yoshiyuki Suga,"August 31, 2008[113]","November 13, 2016"
369,33,"""Oars + Moria! The Most Heinous Combination of Brains and Brawn"" Transliteration: ""Ōzu Purasu Moria – Chikara to Zunō no Saikyō Gattai"" (Japanese: オーズ+モリア 力と頭脳の最強合体)",Makoto Sonoda,Hirohiko Kamisaka,"September 7, 2008[114]","November 20, 2016"
370,34,"""The Secret Plan to Turn the Tables! Nightmare Luffy Makes His Appearance"" Transliteration: ""Gyakuten e no Hisaku – Naitomea Rufi Kenzan"" (Japanese: 逆転への秘策 ナイトメア•ルフィ見参)",Tetsuya Endō,Koga Naoki,"September 14, 2008[115]","November 27, 2016"
371,35,"""The Straw Hat Crew Gets Wiped Out! The Shadow-Shadow's Powers in Full Swing"" Transliteration: ""Kaimetsu, Mugiwara Ichimi – Kage Kage no Chikara Zenkai"" (Japanese: 壊滅, 麦わら一味 カゲカゲの能力全開)",Yukihiko Nakao,Takuya Masumoto,"September 21, 2008[116]","December 4, 2016"
372,36,"""The Incredible Battle Starts! Luffy vs Luffy"" Transliteration: ""Chōzetsu Batoru Sutāto! Rufi Tai Rufi"" (Japanese: 超絶バトルスタート! ルフィVSルフィ)",Directed by : Sumio Watanabe Storyboarded by : Hiroaki Miyamoto,Yoshiyuki Suga,"September 28, 2008[117]","December 11, 2016"
373,37,"""The End of the Battle Is Nigh! Pound in the Finishing Move"" Transliteration: ""Ketchaku Semaru! Tatakikome, Todome no Ichigeki"" (Japanese: 決着迫る! たたき込め, とどめの一撃)",Yutaka Nakashima,Tsuyoshi Sakurai,"October 5, 2008[118]","December 18, 2016"
374,38,"""Our Bodies Vanish! The Morning Sun Shines On the Nightmarish Island!"" Transliteration: ""Karada ga Kieru! Akumu no Shima ni Sasu Asahi!"" (Japanese: 肉体が消える! 悪夢の島に射す朝日!)",Naoyuki Itō,Hirohiko Kamisaka,"October 12, 2008[119]","January 8, 2017"
375,39,"""Not Out of Danger Yet! Orders to Annihilate the Straw Hat Crew"" Transliteration: ""Owaranai Kiki! Mugiwara Ichimi Massatsu Shirei"" (Japanese: 終わらない危機! 麦わら一味抹殺指令)",Directed by : Kiichi Suzuno Storyboarded by : Naotoshi Shida,Koga Naoki,"October 19, 2008[120][121]","January 15, 2017"
376,40,"""It Repels Everything! Kuma’s Paw-Paw Power!"" Transliteration: ""Subete o Hajiku Kuma no Nikyu Nikyu no Nōryoku"" (Japanese: すべてを弾くくまのニキュニキュの能力)",Directed by : Hiroyuki Satō Storyboarded by : Tetsuya Endō,Takuya Masumoto,"November 9, 2008[121][122]","January 22, 2017"
377,41,"""The Pain of My Crewmates Is My Pain! Zoro's Desperate Fight!"" Transliteration: ""Nakama no Itami wa Waga Itami – Zoro Kesshi no Tatakai"" (Japanese: 仲間の痛みは我が痛みゾロ決死の戦い)",Tetsuya Endō,Takuya Masumoto,"November 16, 2008[121][123]","January 29, 2017"
378,42,"""The Promise from a Distant Day! The Pirates' Song and a Small Whale!"" Transliteration: ""Tōi Hi no Yakusoku – Kaizoku no Uta to Chīsa na Kujira"" (Japanese: 遠い日の約束 海賊の唄と小さなクジラ)",Directed by : Makoto Sonoda Storyboarded by : Junji Shimizu,Yoshiyuki Suga,"November 23, 2008[121][124]","February 5, 2017"
379,43,"""Brook's Past! A Sad Farewell with His Cheerful Comrade!"" Transliteration: ""Burukku no Kako – Yōki na Nakama Kanashiki Wakare"" (Japanese: ブルックの過去 陽気な仲間悲しき別れ)",Directed by : Hiroshi Matsuzaka Storyboarded by : Tetsuya Endō,Isao Murayama,"November 30, 2008[121][125]","February 12, 2017"
380,44,"""Bink's Booze! The Song that Connects the Past with the Present!"" Transliteration: ""Binkusu no Sake – Kako to Ima o Tsunagu Uta"" (Japanese: ビンクスの酒 過去と現在をつなぐ唄)",Directed by : Hiroyuki Satō Storyboarded by : Munehisa Sakai,Tsuyoshi Sakurai,"December 7, 2008[126][127]","February 19, 2017"
381,45,"""A New Crewmate! The Musician, Humming Brook!"" Transliteration: ""Aratana Nakama! Ongakuka – Hanauta no Burukku"" (Japanese: 新たな仲間! 音楽家·鼻唄のブルック)",Directed by : Yutaka Nakashima Storyboarded by : Tetsuya Endō,Koga Naoki,"December 14, 2008[127][128]","February 26, 2017"
